EvalID,ProductID,ModelName,HorizonDays,MAE,RMSE,MAPE,EvaluatedAt
882,16,HoltWinters,90,25.384,29.728,0.2171,2026-03-02 22:42:38
883,17,ARIMA,90,29.04,35.308,0.3049,2026-03-02 22:42:38
884,17,HoltWinters,90,29.512,35.372,0.347,2026-03-02 22:42:38
885,18,ARIMA,90,39.779,45.388,0.6443,2026-03-02 22:42:38
886,18,HoltWinters,90,39.74,45.143,0.6632,2026-03-02 22:42:38
887,19,ARIMA,90,28.489,33.257,0.2155,2026-03-02 22:42:38
888,19,HoltWinters,90,23.099,26.143,0.1783,2026-03-02 22:42:38
889,20,ARIMA,90,10.296,11.685,0.2693,2026-03-02 22:42:38
890,20,HoltWinters,90,12.81,14.327,0.3373,2026-03-02 22:42:38
891,21,ARIMA,90,34.9,39.566,0.2559,2026-03-02 22:42:38
892,21,HoltWinters,90,37.783,46.854,0.3014,2026-03-02 22:42:38
893,22,ARIMA,90,33.865,39.822,0.6571,2026-03-02 22:42:38
894,22,HoltWinters,90,36.502,43.166,0.7277,2026-03-02 22:42:38
895,23,ARIMA,90,39.507,44.216,0.5257,2026-03-02 22:42:38
896,23,HoltWinters,90,39.63,44.555,0.5175,2026-03-02 22:42:38
897,24,ARIMA,90,12.631,15.058,0.2312,2026-03-02 22:42:38
898,24,HoltWinters,90,11.824,13.786,0.2223,2026-03-02 22:42:38
899,25,ARIMA,90,52.849,59.475,0.2629,2026-03-02 22:42:38
900,25,HoltWinters,90,45.936,52.298,0.2272,2026-03-02 22:42:38
901,26,ARIMA,90,21.082,26.354,0.3143,2026-03-02 22:42:38
902,26,HoltWinters,90,23.681,29.14,0.3502,2026-03-02 22:42:38
903,27,ARIMA,90,59.102,67.242,0.8982,2026-03-02 22:42:38
904,27,HoltWinters,90,59.543,70.844,0.9531,2026-03-02 22:42:38
905,28,ARIMA,90,12.669,16.65,0.4433,2026-03-02 22:42:38
906,28,HoltWinters,90,13.524,18.301,0.4854,2026-03-02 22:42:38
907,29,ARIMA,90,26.558,32.95,0.3478,2026-03-02 22:42:38
908,29,HoltWinters,90,26.016,32.342,0.3615,2026-03-02 22:42:38
909,30,ARIMA,90,37.666,46.589,0.6747,2026-03-02 22:42:38
910,30,HoltWinters,90,34.435,45.093,0.6853,2026-03-02 22:42:38
911,31,ARIMA,90,19.244,22.031,0.3231,2026-03-02 22:42:38
912,31,HoltWinters,90,21.052,23.758,0.3589,2026-03-02 22:42:38
913,32,ARIMA,90,32.864,35.959,0.297,2026-03-02 22:42:38
914,32,HoltWinters,90,30.83,33.813,0.2829,2026-03-02 22:42:38
915,33,ARIMA,90,36.381,40.261,0.4614,2026-03-02 22:42:38
916,33,HoltWinters,90,26.699,30.912,0.3256,2026-03-02 22:42:38
917,34,ARIMA,90,15.467,20.503,0.2043,2026-03-02 22:42:38
918,34,HoltWinters,90,17.756,22.464,0.2471,2026-03-02 22:42:38
919,35,ARIMA,90,17.541,20.349,0.3527,2026-03-02 22:42:38
920,35,HoltWinters,90,13.848,17.097,0.2994,2026-03-02 22:42:38
921,36,ARIMA,90,26.018,28.89,0.1878,2026-03-02 22:42:38
922,36,HoltWinters,90,22.576,33.758,0.1893,2026-03-02 22:42:38
923,37,ARIMA,90,6.524,7.597,0.2405,2026-03-02 22:42:38
924,37,HoltWinters,90,6.852,8.175,0.261,2026-03-02 22:42:38
925,38,ARIMA,90,35.293,39.777,0.2421,2026-03-02 22:42:38
926,38,HoltWinters,90,31.279,36.542,0.2122,2026-03-02 22:42:38
927,39,ARIMA,90,2.882,3.464,0.3627,2026-03-02 22:42:38
928,39,HoltWinters,90,2.731,3.318,0.3694,2026-03-02 22:42:38
929,40,ARIMA,90,10.295,11.972,0.2833,2026-03-02 22:42:38
930,40,HoltWinters,90,30.784,33.226,0.8619,2026-03-02 22:42:38
931,41,ARIMA,90,21.335,25.189,0.3585,2026-03-02 22:42:38
932,41,HoltWinters,90,21.285,25.078,0.366,2026-03-02 22:42:38
933,42,ARIMA,90,11.704,13.053,0.291,2026-03-02 22:42:38
934,42,HoltWinters,90,10.773,11.923,0.2777,2026-03-02 22:42:38
935,43,ARIMA,90,15.901,21.319,0.1346,2026-03-02 22:42:38
936,43,HoltWinters,90,13.686,18.108,0.1199,2026-03-02 22:42:38
937,44,ARIMA,90,9.192,12.133,0.2364,2026-03-02 22:42:38
938,44,HoltWinters,90,9.986,12.827,0.263,2026-03-02 22:42:38
939,45,ARIMA,90,35.717,42.562,0.509,2026-03-02 22:42:38
940,45,HoltWinters,90,44.084,49.62,0.606,2026-03-02 22:42:38
941,46,ARIMA,90,15.843,18.157,0.2331,2026-03-02 22:42:38
942,46,HoltWinters,90,15.614,17.979,0.2294,2026-03-02 22:42:38
943,47,ARIMA,90,12.459,15.362,0.2884,2026-03-02 22:42:38
944,47,HoltWinters,90,12.656,15.355,0.3148,2026-03-02 22:42:38
945,48,ARIMA,90,7.944,9.888,0.3943,2026-03-02 22:42:38
946,48,HoltWinters,90,7.97,9.859,0.3987,2026-03-02 22:42:38
947,49,ARIMA,90,34.278,37.941,0.2892,2026-03-02 22:42:38
948,49,HoltWinters,90,33.242,38.891,0.3008,2026-03-02 22:42:38
949,50,ARIMA,90,10.831,14.365,0.181,2026-03-02 22:42:38
950,50,HoltWinters,90,9.821,12.038,0.175,2026-03-02 22:42:38
